Size Difference (Female - Male),Cannibalism
-1,No
-1,No
-0.8,No
-0.8,No
-0.6,No
-0.6,No
-0.4,No
-0.4,No
-0.4,No
-0.4,No
-0.2,No
-0.2,No
-0.2,No
-0.2,No
0,No
0,No
0,No
0,No
0,No
0,No
0.2,No
0.2,No
0.2,No
0.2,No
0.2,No
0.2,No
0.4,No
0.4,No
0.4,No
0.4,No
0.4,Yes
0.6,No
0.6,No
0.6,No
0.6,No
0.6,No
0.6,Yes
0.6,Yes
0.8,No
0.8,No
0.8,Yes
0.8,Yes
0.8,Yes
1,No
1,No
1,Yes
1,Yes
1.2,No
1.4,No
1.6,Yes
1.8,Yes
2,Yes
