Count,Wet,Lather,Rinse
198,Toward,Toward,Toward
44,Toward,Toward,Away
273,Toward,Away,Toward
72,Toward,Away,Away
26,Away,Toward,Toward
515,Away,Toward,Away
74,Away,Away,Toward
621,Away,Away,Away
